name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,paper,433459840.2649541,363119152.06,70340688.20495409,19.371241589959247,160.32576884860634,79867.90522450465,3887.3539066229514
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,shift_dy_bs1,433459840.2649541,363119152.06,70340688.20495409,19.371241589959247,160.32576884860634,79867.90522450465,3887.3539066229514
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,shift_global,540279006.637289,363119152.06,177159854.57728904,48.78835323674033,217.19162556282177,80063.45601926549,4435.3603568597055
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,cv_dy,999837811.3221381,363119152.06,636718659.2621381,175.34703296424584,560.4511963939942,80497.13214098646,6978.314962302894
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,cv_dy_bs1,875192277.1209462,363119152.06,512073125.06094617,141.02068760513458,482.16792162370626,79954.89047811244,6278.4281350481715
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,cv_dy_bsmean,891943412.8064356,363119152.06,528824260.7464356,145.63381131135029,492.68410150034236,80003.14546888864,6371.914249246067
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,cv_dy_heur,995743853.1459599,363119152.06,632624701.0859599,174.21959086901265,558.0886092322489,80368.69467684116,6946.993698786378
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,cv_dy_zcv,970602057.0849503,363119152.06,607482905.0249503,167.29574895145512,541.7852226252845,80332.00143516278,6818.335318374358
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,cv_global,836429561.6539612,363119152.06,473310409.5939612,130.3457575588725,460.8837433741452,79733.44421204059,6059.228102824069
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,cv_type,850813757.2634217,363119152.06,487694605.20342165,134.30704561758765,728.7725418893548,79530.2005411142,6047.691708718359
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,cv_type_bs1,834746484.1112435,363119152.06,471627332.0512435,129.88225197587875,637.2740665023788,79540.24857826813,5981.806865032758
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,duan,672645573.6998163,363119152.06,309526421.63981634,85.2410069487802,351.0552766628365,79546.32702468832,5206.9169379992145
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,insample_global,791289971.0377202,363119152.06,428170818.9777202,117.91468903490153,430.6145327676363,79665.2378637672,5821.967897147233
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,iso_global,953562721.298105,363119152.06,590443569.238105,162.60325732985385,602.4105240892947,80179.03762666258,6637.308029047679
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,none,672645573.6998163,363119152.06,309526421.63981634,85.2410069487802,351.0552766628365,79546.32702468832,5206.9169379992145
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,paper,672645573.6998163,363119152.06,309526421.63981634,85.2410069487802,351.0552766628365,79546.32702468832,5206.9169379992145
